S.No,Review Text,Sentiment
1,I love this product! It works so well.,positive
2,"Terrible service, I will never buy again.",negative
3,Absolutely amazing experience!,positive
4,Worst purchase I've made.,negative
5,Really happy with the quality.,positive
6,"Very bad product, broke in 2 days.",negative
7,I’m satisfied. Would recommend it.,positive
8,It didn’t meet my expectations.,negative
9,Great value for money.,positive
10,"Horrible, I want a refund.",negative
11,Awesome quality and fast delivery!,positive
12,Poor design and cheap material.,negative
13,"Impressive performance, loved it!",positive
14,"Not good, disappointed.",negative
15,"Fantastic, exceeded my expectations!",positive
16,Rude customer service.,negative
17,Best product ever!,positive
18,"It’s okay, nothing special.",negative
19,Really bad experience.,negative
20,I’m very pleased with this purchase.,positive
